Cuerpo1,"(210, 140, 70)"
Manchas1,"(130, 75, 40)"
Ojos1,"(210, 170, 40)"
Orejas1,"(240, 185, 170)"
Cuerpo2,"(25, 25, 25)"
Manchas2,"(45, 45, 45)"
Ojos2,"(240, 200, 60)"
Orejas2,"(200, 150, 160)"
Cuerpo3,"(60, 40, 35)"
Manchas3,"(120, 75, 50)"
Ojos3,"(210, 170, 70)"
Orejas3,"(220, 170, 150)"
Cuerpo4,"(225, 210, 185)"
Manchas4,"(195, 170, 135)"
Ojos4,"(210, 180, 90)"
Orejas4,"(240, 195, 185)"
Cuerpo5,"(120, 75, 60)"
Manchas5,"(75, 45, 35)"
Ojos5,"(190, 160, 60)"
Orejas5,"(200, 150, 135)"
Cuerpo6,"(120, 130, 140)"
Manchas6,"(90, 100, 110)"
Ojos6,"(110, 180, 90)"
Orejas6,"(220, 180, 180)"
Cuerpo7,"(240, 240, 235)"
Manchas7,"(220, 220, 215)"
Ojos7,"(120, 170, 220)"
Orejas7,"(245, 190, 195)"
Cuerpo8,"(150, 130, 105)"
Manchas8,"(95, 75, 55)"
Ojos8,"(160, 180, 70)"
Orejas8,"(215, 170, 150)"
Cuerpo9,"(135, 145, 155)"
Manchas9,"(220, 195, 160)"
Ojos9,"(190, 170, 80)"
Orejas9,"(225, 185, 180)"
Cuerpo10,"(200, 200, 195)"
Manchas10,"(90, 90, 90)"
Ojos10,"(150, 190, 80)"
Orejas10,"(225, 180, 180)"
